X,Y,Z,rX,rY,rZ,empty
8255370.000,436.065,192.863,401.953,-166.030,31.459,31.459,
8255439.000,436.023,193.920,401.917,-165.935,32.036,32.036,
8255470.000,435.978,198.009,401.675,-165.661,34.316,34.316,
8255497.000,436.059,206.688,401.063,-165.287,39.318,39.318,
8255527.000,435.983,219.282,400.452,-164.854,46.712,46.712,
8255555.000,435.205,233.506,400.302,-164.032,54.744,54.744,
8255584.000,434.037,247.024,400.319,-162.854,61.941,61.941,
8255611.000,433.208,256.978,400.220,-162.006,67.157,67.157,
8255635.000,432.577,265.823,400.021,-161.470,71.828,71.828,
8255661.000,431.995,275.609,399.704,-161.363,77.047,77.047,
8255685.000,431.509,283.748,399.530,-161.693,81.397,81.397,
8255708.000,430.917,291.008,399.647,-161.740,85.242,85.242,
8255734.000,430.356,296.311,399.890,-160.606,88.032,88.032,
8255758.000,430.054,299.276,399.997,-158.546,89.607,89.607,
8255789.000,430.001,299.981,400.000,-157.162,89.989,89.989,
8255812.000,430.000,300.000,400.000,0.000,90.000,90.000,
8255836.000,430.000,300.000,400.000,0.000,90.000,90.000,
8255858.000,430.000,300.000,400.000,0.000,90.000,90.000,
8255880.000,430.000,300.000,400.000,0.000,90.000,90.000,
8255908.000,430.000,299.961,400.000,0.000,90.000,90.000,
8255979.000,430.104,294.015,400.045,178.361,89.997,89.997,
8256010.000,430.487,278.989,400.186,178.040,89.987,89.987,
8256040.000,430.793,254.956,400.247,177.835,89.971,89.971,
8256065.000,430.841,227.029,400.174,177.792,89.955,89.955,
8256096.000,430.877,199.017,400.078,178.126,89.933,89.933,
8256123.000,430.911,171.019,399.953,178.904,89.900,89.900,
8256153.000,430.943,139.046,399.738,-179.509,89.831,89.831,
8256184.000,430.894,107.778,399.404,-176.908,89.714,89.714,
8256214.000,430.615,83.859,399.258,-173.832,89.670,89.670,
8256242.000,430.300,65.130,399.366,-170.218,89.725,89.725,
8256269.000,430.147,51.973,399.500,-166.596,89.782,89.782,
8256297.000,430.083,42.482,399.606,-163.540,89.827,89.827,
8256324.000,430.053,36.190,399.697,-162.123,89.866,89.866,
8256351.000,430.033,30.300,399.787,-163.396,89.906,89.906,
8256379.000,430.025,25.449,399.835,-169.168,89.929,89.929,
8256403.000,430.022,21.691,399.851,-177.606,89.937,89.937,
8256428.000,430.022,18.021,399.849,172.846,89.936,89.936,
8256454.000,430.026,14.201,399.828,165.197,89.925,89.925,
8256479.000,430.034,9.950,399.783,160.964,89.903,89.903,
8256503.000,430.051,4.907,399.706,159.980,89.868,89.868,
8256530.000,430.081,-1.284,399.611,161.311,89.827,89.827,
8256552.000,430.159,-12.238,399.476,164.870,89.772,89.772,
8256579.000,430.297,-23.685,399.340,168.068,89.716,89.716,
8256605.000,430.555,-39.176,399.214,171.299,89.662,89.662,
8256630.000,430.828,-58.637,399.257,174.217,89.675,89.675,
8256654.000,430.960,-81.065,399.472,176.663,89.755,89.755,
8256679.000,430.960,-104.869,399.694,178.592,89.835,89.835,
8256705.000,430.938,-128.830,399.847,-179.976,89.884,89.884,
8256728.000,430.906,-156.808,399.976,-178.792,89.919,89.919,
8256752.000,430.868,-184.805,400.077,-178.041,89.943,89.943,
8256782.000,430.833,-208.812,400.150,-177.701,89.957,89.957,
8256806.000,430.796,-232.826,400.214,-177.614,89.969,89.969,
8256829.000,430.748,-256.722,400.264,-177.756,89.978,89.978,
8256855.000,430.496,-277.450,400.205,-177.970,89.989,89.989,
8256881.000,430.118,-293.211,400.054,-178.252,89.997,89.997,
8256902.000,430.004,-299.218,400.002,0.000,90.000,90.000,
8256928.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8256952.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8256979.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257005.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257023.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257045.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257070.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257094.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257122.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257146.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257170.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257196.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257219.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257243.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257269.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257291.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257314.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257338.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257363.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257391.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257414.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257438.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257462.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257485.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257509.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257533.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257555.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257584.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257606.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257630.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257656.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257678.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257700.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257726.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257747.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257777.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257799.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257824.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257848.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257870.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257897.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257918.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257942.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257966.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257993.000,430.000,-300.000,400.000,0.000,90.000,90.000,
