X,Y,Z,rX,rY,rZ,empty
8801517.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801534.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801536.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801538.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801540.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801541.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801543.000,436.065,192.862,401.953,-166.030,31.458,31.458,
8801547.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801549.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801551.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801554.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801556.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801559.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801562.000,436.065,192.870,401.953,-166.029,31.463,31.463,
8801579.000,436.061,192.931,401.952,-166.023,31.496,31.496,
8801582.000,436.061,192.931,401.952,-166.023,31.496,31.496,
8801586.000,436.061,192.931,401.952,-166.023,31.496,31.496,
8801589.000,436.061,192.931,401.952,-166.023,31.496,31.496,
8801591.000,436.061,192.931,401.952,-166.023,31.496,31.496,
8801595.000,436.056,193.027,401.950,-166.013,31.548,31.548,
8801597.000,436.056,193.027,401.950,-166.013,31.548,31.548,
8801612.000,436.044,193.240,401.946,-165.992,31.663,31.663,
8801614.000,436.044,193.240,401.946,-165.992,31.663,31.663,
8801617.000,436.044,193.240,401.946,-165.992,31.663,31.663,
8801620.000,436.044,193.240,401.946,-165.992,31.663,31.663,
8801622.000,436.044,193.240,401.946,-165.992,31.663,31.663,
8801625.000,436.044,193.240,401.946,-165.992,31.663,31.663,
8801628.000,436.020,193.660,401.938,-165.950,31.891,31.891,
8801642.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801644.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801647.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801649.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801652.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801654.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801656.000,435.973,194.493,401.923,-165.866,32.342,32.342,
8801674.000,435.719,198.970,401.842,-165.423,34.770,34.770,
