J1,J2,J3,J4,J5,J6,empty
8255370.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8255425.000,21.483,-5.027,80.047,-0.009,70.731,-6.552,
8255457.000,22.005,-5.330,80.594,-0.840,69.095,-5.404,
8255486.000,23.381,-6.021,81.959,-3.367,64.996,-2.138,
8255514.000,25.831,-7.005,84.223,-8.824,58.210,4.454,
8255541.000,29.351,-7.960,87.178,-18.812,49.549,15.791,
8255572.000,31.915,-8.292,89.104,-28.050,44.241,25.830,
8255600.000,34.137,-8.275,90.592,-37.872,40.647,36.232,
8255623.000,36.315,-7.929,91.861,-49.378,38.446,48.219,
8255647.000,37.981,-7.414,92.690,-59.237,37.895,58.401,
8255673.000,39.541,-6.708,93.337,-68.944,38.417,68.380,
8255697.000,40.912,-5.907,93.799,-77.577,39.678,77.232,
8255722.000,41.960,-5.181,94.083,-84.127,41.129,83.938,
8255746.000,42.700,-4.590,94.235,-88.668,42.468,88.583,
8255777.000,42.872,-4.435,94.259,-89.696,42.841,89.634,
8255799.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8255824.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8255848.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8255869.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8255897.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8255957.000,42.648,-4.660,94.490,-89.814,42.648,89.748,
8255997.000,41.494,-5.747,95.474,-89.680,41.495,89.579,
8256024.000,39.250,-7.717,97.218,-89.354,39.254,89.183,
8256054.000,36.058,-10.269,99.415,-88.765,36.069,88.497,
8256082.000,32.470,-12.745,101.458,-87.874,32.498,87.511,
8256110.000,28.560,-15.027,103.258,-86.581,28.618,86.144,
8256137.000,23.052,-17.623,105.212,-83.987,23.187,83.510,
8256172.000,18.428,-19.330,106.444,-80.659,18.676,80.205,
8256202.000,13.911,-20.664,107.378,-75.676,14.339,75.286,
8256228.000,10.038,-21.575,108.002,-68.992,10.714,68.682,
8256256.000,7.136,-22.108,108.360,-60.806,8.124,60.574,
8256285.000,5.062,-22.404,108.557,-51.271,6.430,51.101,
8256313.000,3.705,-22.562,108.661,-42.181,5.455,42.055,
8256338.000,2.613,-22.670,108.732,-32.539,4.797,32.450,
8256369.000,1.442,-22.767,108.795,-19.393,4.289,19.344,
8256391.000,0.687,-22.818,108.829,-9.530,4.110,9.506,
8256416.000,-0.026,-22.859,108.856,0.330,4.065,-0.329,
8256440.000,-0.746,-22.893,108.878,10.190,4.146,-10.164,
8256466.000,-1.521,-22.921,108.896,20.051,4.368,-19.997,
8256490.000,-2.579,-22.945,108.912,31.533,4.859,-31.442,
8256513.000,-3.700,-22.953,108.917,41.135,5.549,-41.004,
8256544.000,-5.104,-22.937,108.907,50.180,6.575,-50.000,
8256568.000,-7.283,-22.854,108.852,59.688,8.375,-59.433,
8256592.000,-9.854,-22.658,108.724,66.780,10.671,-66.443,
8256618.000,-13.180,-22.260,108.460,72.778,13.766,-72.345,
8256642.000,-17.759,-21.465,107.924,78.211,18.134,-77.668,
8256667.000,-21.909,-20.477,107.248,81.531,22.156,-80.919,
