J1,J2,J3,J4,J5,J6,empty
8801517.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801534.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801536.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801538.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801540.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801541.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801543.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
8801547.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801549.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801552.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801554.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801556.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801558.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801561.000,21.441,-5.000,80.001,0.053,70.867,-6.642,
8801580.000,21.452,-5.008,80.014,0.036,70.829,-6.617,
8801584.000,21.452,-5.008,80.014,0.036,70.829,-6.617,
8801587.000,21.452,-5.008,80.014,0.036,70.829,-6.617,
8801590.000,21.452,-5.008,80.014,0.036,70.829,-6.617,
8801593.000,21.452,-5.008,80.014,0.036,70.829,-6.617,
8801595.000,21.471,-5.019,80.033,0.009,70.771,-6.579,
8801598.000,21.471,-5.019,80.033,0.009,70.771,-6.579,
8801613.000,21.511,-5.045,80.077,-0.049,70.641,-6.493,
8801616.000,21.511,-5.045,80.077,-0.049,70.641,-6.493,
8801620.000,21.511,-5.045,80.077,-0.049,70.641,-6.493,
8801623.000,21.511,-5.045,80.077,-0.049,70.641,-6.493,
8801626.000,21.591,-5.095,80.163,-0.167,70.384,-6.324,
8801629.000,21.591,-5.095,80.163,-0.167,70.384,-6.324,
8801641.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801643.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801646.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801648.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801650.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801652.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801655.000,21.749,-5.193,80.334,-0.404,69.875,-5.984,
8801673.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801675.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801677.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801679.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801681.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801682.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801684.000,22.615,-5.700,81.244,-1.770,67.151,-4.089,
8801688.000,23.358,-6.099,81.999,-3.042,64.887,-2.399,
8801689.000,23.358,-6.099,81.999,-3.042,64.887,-2.399,
8801690.000,23.358,-6.099,81.999,-3.042,64.887,-2.399,
8801691.000,23.358,-6.099,81.999,-3.042,64.887,-2.399,
8801692.000,23.358,-6.099,81.999,-3.042,64.887,-2.399,
8801693.000,23.358,-6.099,81.999,-3.042,64.887,-2.399,
8801704.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801706.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801708.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801710.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801712.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801714.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801716.000,24.363,-6.587,82.983,-4.921,61.924,0.000,
8801721.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801723.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801725.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801727.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801729.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801731.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801733.000,25.521,-7.078,84.069,-7.333,58.650,2.956,
8801737.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801739.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801741.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801743.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801745.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801747.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801748.000,26.774,-7.525,85.187,-10.270,55.282,6.422,
8801753.000,27.999,-7.880,86.225,-13.514,52.171,10.131,
8801755.000,27.999,-7.880,86.225,-13.514,52.171,10.131,
8801756.000,27.999,-7.880,86.225,-13.514,52.171,10.131,
8801759.000,27.999,-7.880,86.225,-13.514,52.171,10.131,
8801760.000,27.999,-7.880,86.225,-13.514,52.171,10.131,
8801762.000,27.999,-7.880,86.225,-13.514,52.171,10.131,
8801767.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801769.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801771.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801772.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801774.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801776.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801778.000,29.335,-8.174,87.299,-17.528,49.000,14.603,
8801784.000,30.685,-8.372,88.324,-22.158,46.060,19.650,
8801786.000,30.685,-8.372,88.324,-22.158,46.060,19.650,
8801788.000,30.685,-8.372,88.324,-22.158,46.060,19.650,
8801790.000,30.685,-8.372,88.324,-22.158,46.060,19.650,
8801792.000,30.685,-8.372,88.324,-22.158,46.060,19.650,
8801794.000,30.685,-8.372,88.324,-22.158,46.060,19.650,
